epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,40.0986,0.41224,0.40393,0.87242,0.96327,1,0.99313,0.85751,0.47137,0.41043,0.89377,0.000253024,0.000253024,0.000253024
69,40.6545,0.50941,0.49912,0.95653,0.97008,1,0.995,0.85817,0.46196,0.395,0.88848,0.000239766,0.000239766,0.000239766
70,41.2241,0.42756,0.43641,0.89242,0.96873,0.97334,0.995,0.87846,0.45887,0.37322,0.8883,0.000226769,0.000226769,0.000226769
71,41.7702,0.42788,0.45441,0.92931,0.98181,1,0.995,0.88613,0.46346,0.36659,0.90012,0.000214046,0.000214046,0.000214046
72,42.3685,0.47591,0.42474,0.96145,0.94855,0.96667,0.9668,0.89018,0.44516,0.34834,0.89668,0.000201611,0.000201611,0.000201611
73,42.9603,0.44484,0.41984,0.89201,0.95418,0.96667,0.96683,0.89863,0.43643,0.34576,0.89446,0.000189475,0.000189475,0.000189475
74,43.5428,0.42605,0.41417,0.92003,0.95315,0.96667,0.96751,0.90768,0.43025,0.34609,0.89572,0.000177651,0.000177651,0.000177651
75,44.1058,0.45566,0.41607,0.92113,0.95424,0.96667,0.96751,0.89807,0.4368,0.34872,0.89938,0.000166149,0.000166149,0.000166149
76,44.6782,0.40323,0.3786,0.91427,0.99634,0.95505,0.983,0.91789,0.43879,0.34822,0.90181,0.000154982,0.000154982,0.000154982
77,45.2404,0.38882,0.39208,0.86732,0.99683,0.95786,0.98167,0.91871,0.43941,0.35356,0.90118,0.000144161,0.000144161,0.000144161
78,45.8221,0.37084,0.38342,0.87456,0.9979,0.96651,0.98107,0.91686,0.43451,0.35041,0.89816,0.000133695,0.000133695,0.000133695
79,46.379,0.40992,0.39161,0.90315,0.99343,0.96667,0.98052,0.92129,0.43126,0.35498,0.89664,0.000123596,0.000123596,0.000123596
80,46.9667,0.39174,0.39202,0.91848,0.99151,1,0.995,0.9241,0.42012,0.34804,0.88987,0.000113873,0.000113873,0.000113873
81,47.5757,0.40076,0.41786,0.93669,0.99154,1,0.995,0.91513,0.41804,0.34626,0.88637,0.000104537,0.000104537,0.000104537
82,48.1354,0.40338,0.3973,0.8981,0.99159,1,0.995,0.91712,0.41829,0.34997,0.88306,9.55951e-05,9.55951e-05,9.55951e-05
83,48.7002,0.42666,0.42439,0.9098,0.99151,1,0.995,0.9204,0.41421,0.3476,0.87823,8.70577e-05,8.70577e-05,8.70577e-05
84,49.259,0.40238,0.40107,0.91167,0.99124,1,0.995,0.91773,0.4107,0.3419,0.87473,7.89327e-05,7.89327e-05,7.89327e-05
85,49.866,0.3938,0.36717,0.87322,0.99139,1,0.995,0.91494,0.41085,0.33872,0.87628,7.12282e-05,7.12282e-05,7.12282e-05
86,50.4818,0.37905,0.35453,0.92017,0.99151,1,0.995,0.91472,0.40982,0.33579,0.87897,6.39518e-05,6.39518e-05,6.39518e-05
87,51.047,0.37326,0.37377,0.88305,0.9918,1,0.995,0.91279,0.41338,0.33728,0.88073,5.71106e-05,5.71106e-05,5.71106e-05
88,51.6074,0.43458,0.38139,0.95769,0.99203,1,0.995,0.92433,0.41533,0.32967,0.87989,5.07115e-05,5.07115e-05,5.07115e-05
89,52.1529,0.36116,0.37833,0.88324,0.99197,1,0.995,0.92355,0.41815,0.32925,0.88161,4.47606e-05,4.47606e-05,4.47606e-05
90,52.7284,0.34975,0.45686,0.89211,0.99186,1,0.995,0.92967,0.41889,0.32768,0.88336,3.9264e-05,3.9264e-05,3.9264e-05
91,78.9316,0.28504,0.40519,0.8499,0.99155,1,0.995,0.92736,0.41429,0.32411,0.87987,3.4227e-05,3.4227e-05,3.4227e-05
92,79.5245,0.27315,0.39643,0.78873,0.99008,1,0.995,0.92619,0.40538,0.32493,0.87218,2.96546e-05,2.96546e-05,2.96546e-05
93,80.1207,0.2831,0.44048,0.83453,0.98942,1,0.995,0.92905,0.402,0.32687,0.8699,2.55513e-05,2.55513e-05,2.55513e-05
94,80.7068,0.26842,0.36471,0.80908,0.98795,1,0.995,0.93039,0.39736,0.32719,0.86625,2.19212e-05,2.19212e-05,2.19212e-05
95,81.326,0.25506,0.34368,0.81883,0.98722,1,0.995,0.93246,0.39586,0.32813,0.86481,1.87678e-05,1.87678e-05,1.87678e-05
96,81.8887,0.23774,0.31997,0.81001,0.98508,1,0.995,0.93143,0.39376,0.32337,0.86234,1.60943e-05,1.60943e-05,1.60943e-05
97,82.4317,0.27192,0.34303,0.84872,0.98421,1,0.995,0.93066,0.3936,0.32294,0.86124,1.39032e-05,1.39032e-05,1.39032e-05
98,82.9871,0.23504,0.30388,0.83744,0.98374,1,0.995,0.93062,0.39121,0.32229,0.85877,1.21968e-05,1.21968e-05,1.21968e-05
99,83.5195,0.23915,0.29915,0.81079,0.98337,1,0.995,0.92328,0.38961,0.32044,0.8573,1.09768e-05,1.09768e-05,1.09768e-05
100,84.0829,0.2911,0.30064,0.77254,0.98201,1,0.995,0.92464,0.38587,0.31765,0.85327,1.02443e-05,1.02443e-05,1.02443e-05
